ID,state_id,Station,lat,lng,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19
21,6,Balok Baru,3.94327,103.36349,79,67,75,62,66,74,76,65,62,80,56,62,60,62,58,55,55,59,67,62,66,61,54,66,58,86,161,176,68,67,76,97,163,70,60,54
22,6,Jerantut,3.93788,102.36311,64,72,72,62,74,68,73,69,72,82,55,50,61,59,64,58,61,71,65,65,71,63,57,76,55,60,65,69,58,62,72,85,155,73,68,54
23,6,Kuantan,3.83211,103.27025,67,65,63,59,61,70,80,60,61,61,52,57,57,57,58,52,57,71,66,62,69,61,54,83,65,57,62,69,61,64,95,110,178,64,59,52
24,6,Rompin,2.87065,103.14036,84,95,169,83,71,73,91,96,64,74,47,55,59,54,90,135,53,60,55,74,63,52,48,84,59,55,283,86,139,66,70,227,232,79,63,55
25,6,Temerloh,3.44833,102.41416,65,77,74,67,78,73,76,71,65,69,59,59,81,57,63,61,63,74,65,61,72,60,53,75,64,61,74,69,67,79,75,89,162,83,69,57
26,7,"Pegoh, Ipoh",4.53559,101.08016,76,77,76,65,67,66,80,69,67,64,59,59,67,62,66,61,54,66,70,68,66,67,63,60,65,68,70,67,64,64,71,83,159,72,62,61
27,7,Seri Manjung,38.89037,-77.03196,70,88,75,67,78,65,92,68,64,73,68,69,65,65,70,63,57,76,84,97,68,65,65,70,87,69,78,68,63,68,76,96,232,68,59,60
28,7,Taiping,4.85243,100.74078,68,88,75,71,79,65,82,74,78,74,55,64,66,62,69,61,54,83,70,79,65,71,56,59,67,65,73,66,65,105,114,88,205,61,62,68
29,7,Tanjung Malim,3.69365,101.5191,46,61,53,49,65,58,74,60,74,87,57,63,55,74,63,52,48,84,84,101,66,56,44,49,49,54,66,57,52,159,116,124,177,65,53,45
30,7,"Tasek, Ipoh",4.64865,101.10757,76,87,78,69,68,67,90,74,72,69,61,62,65,61,72,60,53,75,75,74,73,68,64,59,63,63,69,63,67,65,75,87,186,74,62,58
31,8,Kangar,6.44004,100.19427,68,97,72,66,59,64,79,58,67,65,46,62,60,58,59,56,57,69,71,78,66,58,65,70,63,57,66,59,59,70,70,80,93,58,56,55
32,9,Balik Pulau,5.35226,100.23039,83,83,75,68,67,67,82,73,64,70,54,61,68,68,73,64,101,73,77,125,66,74,69,66,65,71,75,67,66,74,83,94,263,73,65,71
33,9,Perai,5.3852,100.38326,78,73,76,70,65,66,86,77,75,75,60,64,67,66,71,57,63,85,74,88,72,73,65,63,63,64,71,72,63,81,82,84,196,67,60,68
